Test name,R alone,SE alone,combined,R train SE test,SE train R test
counts_alone,0.5206904761904761,0.5077222222222222,0.49589189189189187,0.49935135135135134,0.5002162162162163
global_alone,0.5033333333333333,0.5409444444444444,0.5197297297297298,0.5262972972972974,0.4935135135135135
global_and_local,0.5034761904761905,0.5549444444444445,0.5224864864864864,0.5117567567567568,0.4968108108108108
global_and_local_and_words,0.5204047619047619,0.5423888888888889,0.49848648648648647,0.49227027027027026,0.5006486486486487
global_and_local_and_words_and_counts,0.5203809523809524,0.5216666666666666,0.5111351351351351,0.5002702702702703,0.5274594594594595
global_and_words_and_counts,0.5021428571428571,0.5007222222222222,0.49589189189189187,0.4997837837837838,0.5246216216216216
local_alone,0.5053333333333333,0.5111666666666667,0.5461621621621622,0.5065675675675676,0.49691891891891893
local_and_words_and_counts,0.4933571428571429,0.5171111111111111,0.5131081081081081,0.49945945945945946,0.5001621621621621
words_and_counts,0.5202619047619048,0.49794444444444447,0.5124324324324324,0.499972972972973,0.5255135135135135
words_only,0.5008809523809524,0.5001666666666666,0.4965945945945946,0.5075945945945946,0.5017297297297297
